Rank,Restaurant,Sales,City,State
1,Evergreens,240000,Seattle,Wash.
2,Clean Juice,440000,Charlotte,N.C.
3,Slapfish,210000,Huntington Beach,Calif.
4,Clean Eatz,250000,Wilmington,N.C.
5,Pokeworks,490000,Irvine,Calif.
6,Playa Bowls,390000,Belmar,N.J.
7,The Simple Greek,240000,Blue Bell,Pa.
8,Melt Shop,200000,New York,N.Y.
9,Creamistry,240000,Yorba Linda,Calif.
10,Joella's Hot Chicken,290000,Louisville,Ky.
11,Eggs Up Grill,300000,Spartanburg,S.C.
12,Dog Haus,390000,Pasadena,Calif.
13,Teriyaki Madness,410000,Denver,Colo.
14,Bluestone Lane,480000,New York,N.Y.
15,Original ChopShop,210000,Plano,Texas
16,Rapid Fired Pizza,240000,Kettering,Ohio
17,Ike's Love & Sandwiches,440000,San Francisco,Calif.
18,Vitality Bowls,370000,San Ramon,Calif.
19,Hawkers Asian Street Fare,220000,Orlando,Fla.
20,Maple Street Biscuit Co.,390000,Orange Park,Fla.
21,Bulla Gastrobar,320000,Doral,Fla.
22,Duck Donuts,440000,Mechanicsburg,Pa.
23,The Little Beet,230000,New York,N.Y.
24,Joe & The Juice,470000,New York,N.Y.
25,By Chloe,370000,New York,N.Y.
26,Sugarfire Smokehouse,390000,Olivette,Mo.
27,Bibibop Asian Grill,440000,Columbus,Ohio
28,Bubbakoo's Burritos,280000,Wall Township,N.J.
29,Dos Toros Taqueria,280000,New York,N.Y.
30,The Pizza Press,270000,Anaheim,Calif.
31,The Lost Cajun,200000,Frisco,Texas
32,Just Salad,420000,New York,N.Y.
33,Jeni's Splendid Ice Creams,420000,Columbus,Ohio
34,Boqueria,270000,New York,N.Y.
35,Quickway Japanese Hibachi,220000,Fairfax,Va.
36,Surcheros,220000,Douglas,Ga.
37,Famous Toastery,400000,Charlotte,N.C.
38,Culinary Dropout,200000,Scottsdale,Ariz.
39,Condado Tacos,380000,Columbus,Ohio
40,The Flying Biscuit Cafe,290000,Atlanta,Ga.
41,Blue Sushi Sake Grill,490000,Omaha,Neb.
42,The Human Bean,470000,Medford,Ore.
43,Spitz Mediterranean Street Food,280000,Los Angeles,Calif.
44,Tacos 4 Life,250000,Conway,Ark.
45,Pita Mediterranean Street Food,380000,Fairburn,Ga.
46,LA Crawfish,480000,McAllen,Texas
47,&pizza,450000,Washington,D.C.
48,Super Duper Burgers,390000,San Francisco,Calif.
49,StoneFire Grill,310000,Agoura Hills,Calif.
50,Gus's World Famous Fried Chicken,440000,Memphis,Tenn.
