Rank,Restaurant,Sales,City,State
1,McDonald's,40412,NA,NA
2,Starbucks,21380,NA,NA
3,Chick-fil-A,11320,NA,NA
4,Taco Bell,11293,NA,NA
5,Burger King,10204,NA,NA
6,Subway,10200,NA,NA
7,Wendy's,9762,NA,NA
8,Dunkin',9228,NA,NA
9,Domino's,7044,NA,NA
10,Panera Bread,5890,NA,NA
11,Pizza Hut,5558,NA,NA
12,Chipotle Mexican Grill,5509,NA,NA
13,Sonic Drive-In,4687,NA,NA
14,KFC,4546,NA,NA
15,Olive Garden,4287,NA,NA
16,Applebee's,4085,NA,NA
17,Panda Express,3946,NA,NA
18,Arby's,3884,NA,NA
19,Popeyes Louisiana Kitchen,3812,NA,NA
20,Little Caesars,3811,NA,NA
21,Dairy Queen,3760,NA,NA
22,Buffalo Wild Wings,3669,NA,NA
23,Chili's Grill & Bar,3563,NA,NA
24,Jack in the Box,3504,NA,NA
25,IHOP,3266,NA,NA
26,Texas Roadhouse,3016,NA,NA
27,Denny's,2691,NA,NA
28,Papa John's,2638,NA,NA
29,Outback Steakhouse,2635,NA,NA
30,Whataburger,2556,NA,NA
31,Red Lobster,2490,NA,NA
32,Cracker Barrel,2482,NA,NA
33,The Cheesecake Factory,2180,NA,NA
34,Jimmy John's Gourmet Sandwiches,2105,NA,NA
35,Hardee's,2020,NA,NA
36,Zaxby's,1886,NA,NA
37,LongHorn Steakhouse,1867,NA,NA
38,Culver's,1795,NA,NA
39,Golden Corral,1746,NA,NA
40,Five Guys Burgers and Fries,1661,NA,NA
41,Red Robin Gourmet Burgers and Brews,1548,NA,NA
42,Raising Cane's Chicken Fingers,1466,NA,NA
43,Carl's Jr.,1423,NA,NA
44,Wingstop,1363,NA,NA
45,Waffle House,1344,NA,NA
46,Jersey Mike's Subs,1340,NA,NA
47,Bojangles',1331,NA,NA
48,BJ's Restaurant & Brewhouse,1161,NA,NA
49,TGI Fridays,1085,NA,NA
50,In-N-Out Burger,957,NA,NA
51,Steak 'n Shake,950,NA,NA
